look_id,look_name,source_page,product_sequence,product_name,sku,category,subcategory,collection,finish_code,finish_name,colour_name,price,currency,dimension_text,product_description,product_role,look_total_price,is_alternative,alternative_group_id,source_document,extraction_confidence,review_required,review_reason
look_001,Superior,13,1,Brazn™ wall hung toilet with Quiet-Close™ seat cover in white,K-26994IN-0,toilet,,Brazn™,,,white,,INR,,Brazn™ wall hung toilet with Quiet-Close™ seat cover in white,toilet,,false,,Projectlookbook.pdf,medium,true,"SKU and/or price not stated for this item in the source (printed as ""-"")."
look_001,Superior,13,2,Brazn™ vessel basin without faucet hole in white,K-21060IN-0,basin,,Brazn™,,,white,,INR,,Brazn™ vessel basin without faucet hole in white,primary_basin,,false,,Projectlookbook.pdf,medium,true,"SKU and/or price not stated for this item in the source (printed as ""-"")."
look_001,Superior,13,3,Parallel™ single-control tall basin faucet with drain in polished chrome,K-23475IN-4-CP,faucet,,Parallel™,,polished chrome,,,INR,,Parallel™ single-control tall basin faucet with drain in polished chrome,basin_faucet,,false,,Projectlookbook.pdf,medium,true,"SKU and/or price not stated for this item in the source (printed as ""-"")."
look_001,Superior,13,4,Lynk™ pneumatic faceplate in polished chrome,K-75890IN-P-CP,faceplate,,Lynk™,,polished chrome,,,INR,,Lynk™ pneumatic faceplate in polished chrome,faceplate,,false,,Projectlookbook.pdf,medium,true,"SKU and/or price not stated for this item in the source (printed as ""-"")."
look_002,Superior,15,1,ModernLife Edge™ single-control tall basin faucet without drain in french gold,K-25758IN-4ND-AF,faucet,,ModernLife Edge™,,french gold,,36000.0,INR,,ModernLife Edge™ single-control tall basin faucet without drain in french gold,basin_faucet,1091450.0,false,,Projectlookbook.pdf,high,false,
look_002,Superior,15,2,ModernLife Edge™ 600mm edge vessel basin without faucet hole in white,K-21226IN-SS-0,basin,,ModernLife Edge™,,,white,30000.0,INR,,ModernLife Edge™ 600mm edge vessel basin without faucet hole in white,primary_basin,1091450.0,false,,Projectlookbook.pdf,high,false,
look_002,Superior,15,3,Veil IT Faceplate,,faceplate,,Veil IT Faceplate,,,,,INR,,Veil IT Faceplate,faceplate,1091450.0,false,,Projectlookbook.pdf,medium,true,"SKU and/or price not stated for this item in the source (printed as ""-"")."
look_002,Superior,15,4,Veil® wall hung intelligent toilet with remote and Quiet-Close™ seat cover,K-5402IN-ZZ-0,toilet,,Veil®,,,,740000.0,INR,,Veil® wall hung intelligent toilet with remote and Quiet-Close™ seat cover,toilet,1091450.0,false,,Projectlookbook.pdf,high,false,
look_002,Superior,15,5,Elate® health faucet with hose & bracket in french gold,K-97258IN-ZZ-AF,health_faucet,,Elate®,,french gold,,5750.0,INR,,Elate® health faucet with hose & bracket in french gold,health_faucet,1091450.0,false,,Projectlookbook.pdf,high,false,
look_002,Superior,15,6,ModernLife Edge™ dual flow hexagonal 425mm x 330mm rainpanel in french gold,K-29959IN-AF,showerhead,,ModernLife Edge™,,french gold,,150000.0,INR,425mm x 330mm,ModernLife Edge™ dual flow hexagonal 425mm x 330mm rainpanel in french gold,showerhead,1091450.0,false,,Projectlookbook.pdf,high,false,
look_002,Superior,15,7,Anthem™ recessed thermostatic mechanical 3 outlet trim in french gold,K-26347IN-9-AF,shower_trim,,Anthem™,,french gold,,62500.0,INR,,Anthem™ recessed thermostatic mechanical 3 outlet trim in french gold,shower_trim,1091450.0,false,,Projectlookbook.pdf,high,false,
look_002,Superior,15,8,ModernLife Edge™ bath spout with diverter in french gold,K-25764IN-AF,bath_spout,,ModernLife Edge™,,french gold,,13000.0,INR,,ModernLife Edge™ bath spout with diverter in french gold,bath_spout,1091450.0,false,,Projectlookbook.pdf,high,false,
look_002,Superior,15,9,Complementary™ 300mm bottle trap without drain in french gold,K-7314IN-AF,bottle_trap,,Complementary™,,french gold,,3300.0,INR,,Complementary™ 300mm bottle trap without drain in french gold,bottle_trap,1091450.0,false,,Projectlookbook.pdf,high,false,
look_002,Superior,15,10,Complementary™ grid drain long thread in french gold,K-20746IN-AF,drain,,Complementary™,,french gold,,900.0,INR,,Complementary™ grid drain long thread in french gold,drain,1091450.0,false,,Projectlookbook.pdf,high,false,
look_002,Superior,15,11,Anthem™ recessed mechanical thermostatic 3 outlet valve,K-26341IN-NA,shower_trim,,Anthem™,,,,50000.0,INR,,Anthem™ recessed mechanical thermostatic 3 outlet valve,,1091450.0,false,,Projectlookbook.pdf,high,false,
look_003,Superior,17,1,ModernLife Edge™ wall mount single-control basin faucet trim in polished chrome,K-25759IN-4ND-CP,faucet,,ModernLife Edge™,,polished chrome,,24200.0,INR,,ModernLife Edge™ wall mount single-control basin faucet trim in polished chrome,basin_faucet,383640.0,false,,Projectlookbook.pdf,high,false,
look_003,Superior,17,2,Nysa 630mm vessel basin without faucet hole in white,K-31343IN-SS-0,basin,,Nysa,,,white,26000.0,INR,,Nysa 630mm vessel basin without faucet hole in white,primary_basin,383640.0,false,,Projectlookbook.pdf,high,false,
look_003,Superior,17,3,Lynk™ pneumatic faceplate in polished chrome,K-75890IN-P-CP,faceplate,,Lynk™,,polished chrome,,2800.0,INR,,Lynk™ pneumatic faceplate in polished chrome,faceplate,383640.0,false,,Projectlookbook.pdf,high,false,
look_003,Superior,17,4,Veil® +C3 wall hung toilet with C3-230 electronic cleansing seat cover in white & remote in white,K-31539IN-SS-0 + K-4108IN-0,toilet,,Veil®,,,white,145000.0,INR,,Veil® +C3 wall hung toilet with C3-230 electronic cleansing seat cover in white & remote in white,toilet,383640.0,false,,Projectlookbook.pdf,medium,true,Row lists a compound multi-SKU bundle (e.g. toilet + seat) as printed; SKUs preserved as a space-separated set rather than split into independent rows.
look_003,Superior,17,5,Luxe health faucet with hose & bracket in polished chrome,K-77364IN-CP,health_faucet,,Luxe,,polished chrome,,4840.0,INR,,Luxe health faucet with hose & bracket in polished chrome,health_faucet,383640.0,false,,Projectlookbook.pdf,high,false,
look_003,Superior,17,6,Statement™ 353mm deep massage rainhead in polished chrome,K-26296IN-CP,showerhead,,Statement™,,polished chrome,,54000.0,INR,,Statement™ 353mm deep massage rainhead in polished chrome,showerhead,383640.0,false,,Projectlookbook.pdf,high,false,
look_003,Superior,17,7,Anthem™ recessed thermostatic mechanical 3 outlet trim in polished chrome,K-26347IN-9-CP,shower_trim,,Anthem™,,polished chrome,,40000.0,INR,,Anthem™ recessed thermostatic mechanical 3 outlet trim in polished chrome,shower_trim,383640.0,false,,Projectlookbook.pdf,high,false,
