look_id,look_name,finish_a,finish_b,colour_a,colour_b,relationship_type,source_page,evidence
look_001,Superior,polished chrome,,white,,same_look_finish_cooccurrence,13,"Finish ""polished chrome"" and colour ""white"" both appear among products in the ""Superior"" look on page 13."
look_002,Superior,french gold,,white,,same_look_finish_cooccurrence,15,"Finish ""french gold"" and colour ""white"" both appear among products in the ""Superior"" look on page 15."
look_003,Superior,french gold,polished chrome,,,same_look_finish_cooccurrence,17,"Both finishes appear among products in the ""Superior"" look on page 17."
look_003,Superior,french gold,,white,,same_look_finish_cooccurrence,17,"Finish ""french gold"" and colour ""white"" both appear among products in the ""Superior"" look on page 17."
look_003,Superior,polished chrome,,white,,same_look_finish_cooccurrence,17,"Finish ""polished chrome"" and colour ""white"" both appear among products in the ""Superior"" look on page 17."
look_004,Superior,french gold,,white,,same_look_finish_cooccurrence,19,"Finish ""french gold"" and colour ""white"" both appear among products in the ""Superior"" look on page 19."
look_005,Aspire,polished chrome,,white,,same_look_finish_cooccurrence,23,"Finish ""polished chrome"" and colour ""white"" both appear among products in the ""Aspire"" look on page 23."
look_006,Aspire,polished chrome,,white,,same_look_finish_cooccurrence,25,"Finish ""polished chrome"" and colour ""white"" both appear among products in the ""Aspire"" look on page 25."
look_007,Aspire,polished chrome,,white,,same_look_finish_cooccurrence,27,"Finish ""polished chrome"" and colour ""white"" both appear among products in the ""Aspire"" look on page 27."
look_008,Aspire,polished chrome,,white,,same_look_finish_cooccurrence,29,"Finish ""polished chrome"" and colour ""white"" both appear among products in the ""Aspire"" look on page 29."
look_009,Aspire,polished chrome,,white,,same_look_finish_cooccurrence,31,"Finish ""polished chrome"" and colour ""white"" both appear among products in the ""Aspire"" look on page 31."
look_010,Aspire,polished chrome,,white,,same_look_finish_cooccurrence,33,"Finish ""polished chrome"" and colour ""white"" both appear among products in the ""Aspire"" look on page 33."
look_011,Desire,polished chrome,,white,,same_look_finish_cooccurrence,37,"Finish ""polished chrome"" and colour ""white"" both appear among products in the ""Desire"" look on page 37."
look_012,Desire,polished chrome,,white,,same_look_finish_cooccurrence,39,"Finish ""polished chrome"" and colour ""white"" both appear among products in the ""Desire"" look on page 39."
